comment_id,content,creation_time,score,comment_type,clean_content,topic_1_prob,topic_2_prob,topic_3_prob
jd21371606995,最近睡眠质量下降，也容易上火，四宝茶里面有西洋参，麦冬，黄芪．党参四味中药、特别适合阴虚火旺的人喝，试吃了几天效果真的杠杠滴，那个黄芪味道不错，淡淡的香味，值得好评，喝完了再复购。,2024-09-16 13:16:44,5,好评,最近睡眠质量下降也容易上火四宝茶里面有西洋参麦冬黄芪党参四味中药特别适合阴虚火旺的人喝试吃了几天效果真的杠杠滴那个黄芪味道不错淡淡的香味值得好评喝完了再复购,0.664021,0.16796337,0.168015
jd20088617461,调料身体大补汤，味道不错，值得点赞,2023-11-05 10:56:27,3,中评,调料身体大补汤味道不错值得点赞,0.6640236,0.16796298,0.16801398
jd21367382887,已经收到了，质量是很好的。我最近因为身体比较虚弱，老是容易出虚汗，自从喝了这款产品之后，各方面都改善了不少，推荐大家来买，给五星好评,2024-09-15 13:53:45,5,好评,已经收到了质量是很好的我最近因为身体比较虚弱老是容易出虚汗自从喝了这款产品之后各方面都改善了不少推荐大家来买给五星好评,0.6640239,0.16796228,0.16801295
jd21367055965,到货很快，味道回甘甜，没有碎**，这种天气喝这个真的太适合了，用来煲汤超级香，很好喝，都有独立包装，同仁堂大品牌放心喝。,2024-09-15 12:31:00,5,好评,到货很快味道回甘甜没有碎这种天气喝这个真的太适合了用来煲汤超级香很好喝都有独立包装同仁堂大品牌放心喝,0.66401994,0.16796355,0.16801715
jd21360420523,最近精气神不太好，抱着尝试一下的态度买了这家的四宝茶，收到货以后感觉很惊喜，是透明的独立包装，一眼就可以看到的好品质，喝了以后感觉很舒服，期待效果,2024-09-13 21:52:38,5,好评,最近精气神不太好抱着尝试一下的态度买了这家的四宝茶收到货以后感觉很惊喜是透明的独立包装一眼就可以看到的好品质喝了以后感觉很舒服期待效果,0.16804266,0.66389734,0.16805929
jd21358619232,最近感觉有点疲乏，说是要吃些中药调理。选了很久，发现这里的是黄芪、党参、麦冬、西洋参一起，性价比挺高，关键都是独立包装，对于我这种要求精确到克的人来说很方便,2024-09-13 14:16:33,5,好评,最近感觉有点疲乏说是要吃些中药调理选了很久发现这里的是黄芪党参麦冬西洋参一起性价比挺高关键都是独立包装对于我这种要求精确到克的人来说很方便,0.16804375,0.6638984,0.16805738
jd21358602248,元气四宝茶改善脾虚气虚真的很给力，我从精神紧张到精神放松，喝完后我感觉面色是红润的，精神饱满，有力量，爆汗很多，身体轻松,2024-09-13 14:12:52,5,好评,元气四宝茶改善脾虚气虚真的很给力我从精神紧张到精神放松喝完后我感觉面色是红润的精神饱满有力量爆汗很多身体轻松,0.16804399,0.6638949,0.16806109
jd21347812804,元气四宝茶到货了，茶包干净肉眼可见，四种原材料香气扑鼻，药味很重，成分齐全，马上泡了一杯很好喝，对身体补气很有作用，货真价实。,2024-09-10 21:51:28,5,好评,元气四宝茶到货了茶包干净肉眼可见四种原材料香气扑鼻药味很重成分齐全马上泡了一杯很好喝对身体补气很有作用货真价实,0.66402066,0.16796127,0.16801722
jd21224088152,日期新鲜，冲泡不结块也很容易，味道很好喝，淡淡的，年纪上来了不能喝甜的，这个无糖的刚刚好，之前气血虚，现在感觉身上暖暖的。,2024-08-20 08:24:25,5,好评,日期新鲜冲泡不结块也很容易味道很好喝淡淡的年纪上来了不能喝甜的这个无糖的刚刚好之前气血虚现在感觉身上暖暖的,0.16730486,0.66538286,0.1673119
jd21220832838,一打开包装就是一股很浓郁的党参的香味，用温水化开后又是一股浓郁的豆浆味，不是很甜很适合当健康早餐！一盒快喝完没了，能感觉到自己气色好了很多，早上起床后没有那种无力感了，每天都可有精神了，效果很好,2024-08-19 21:47:42,5,好评,一打开包装就是一股很浓郁的党参的香味用温水化开后又是一股浓郁的豆浆味不是很甜很适合当健康早餐一盒快喝完没了能感觉到自己气色好了很多早上起床后没有那种无力感了每天都可有精神了效果很好,0.167987,0.16794787,0.66406596
jd21527080458,闺蜜推荐说喝这种补气血茶对身体好一点，就买来试了一下目前喝了半个月了，不怎么冒虚汗了，人看着也精神多了。,2024-10-08 18:18:08,5,好评,闺蜜推荐说喝这种补气血茶对身体好一点就买来试了一下目前喝了半个月了不怎么冒虚汗了人看着也精神多了,0.16804394,0.6638985,0.16805723
jd22346792823,同仁堂应该是大家耳熟能详的品牌 也是大家都基本信得过的品牌 它的产品应该放心使用 这款四君子 我想来试试 主要是针对自己不太好的胃 应该能够帮助到,2025-02-06 18:14:50,5,好评,同仁堂应该是大家耳熟能详的品牌 也是大家都基本信得过的品牌 它的产品应该放心使用 这款四君子 我想来试试 主要是针对自己不太好的胃 应该能够帮助到,0.041969,0.9160611,0.041969378
jd22388625528,宝贝收到了，和描述一样，很喜欢优良的品质，扎实的质量，让这款商品成为了我的心头好。正品，棒棒哒，价格很优惠，总而言之挺好的，还会再买宝贝收到咯👌🏻，真的很棒呀！🌈质量真是没话说，非常满意！🆗开心开心😃整体来说，还是很好的，非常值得再次回购,2025-02-16 22:14:06,5,好评,宝贝收到了和描述一样很喜欢优良的品质扎实的质量让这款商品成为了我的心头好正品棒棒哒价格很优惠总而言之挺好的还会再买宝贝收到咯真的很棒呀质量真是没话说非常满意开心开心整体来说还是很好的非常值得再次回购,0.6640181,0.16796285,0.16801813
jd21883197526,冲着同仁堂的名号来买的，川贝枇杷配料还加了薄荷有一点清凉的味道，润喉效果非常好，嗓子干痒不舒服的时候就喝一口，会好很多，好评,2024-12-02 22:40:03,5,好评,冲着同仁堂的名号来买的川贝枇杷配料还加了薄荷有一点清凉的味道润喉效果非常好嗓子干痒不舒服的时候就喝一口会好很多好评,0.1680429,0.66390234,0.16805579
jd21942052800,这款四安堂牌西洋参川贝枇杷露主要功能是清咽，缓解咳嗽和嗓子不适。饮用后，症状得到改善，嗓子不那么难受了。产品配料表包含西洋参、川贝、枇杷、桔梗和薄荷脑等，品质较好。建议大家购买并保持健康，避免咳嗽困扰。,2024-12-14 10:24:39,5,好评,这款四安堂牌西洋参川贝枇杷露主要功能是清咽缓解咳嗽和嗓子不适饮用后症状得到改善嗓子不那么难受了产品配料表包含西洋参川贝枇杷桔梗和薄荷脑等品质较好建议大家购买并保持健康避免咳嗽困扰,0.1680419,0.6639002,0.1680576
jd21823838964,前几天上火喉咙肿痛不舒服，买来喝的，喝下去感觉喉咙凉凉的，很温和舒服，有需要的可以试试，长期买一些备着放家里都挺好，大人小孩都能喝,2024-11-21 23:01:38,5,好评,前几天上火喉咙肿痛不舒服买来喝的喝下去感觉喉咙凉凉的很温和舒服有需要的可以试试长期买一些备着放家里都挺好大人小孩都能喝,0.66401446,0.16796808,0.16801767
jd21940819726,今年的刀片嗓太厉害了，一开始只是觉得嗓子拔干，有点痒，就没在意，结果过了一周咳嗽越来越严重，连吞咽都疼，同事给我推荐的这个同仁堂的川贝枇杷露，对喉咙敏感的来说很温和，而且润嗓的效果很好，我连续把3瓶都喝完，现在已经好很多了,2024-12-13 23:16:27,5,好评,今年的刀片嗓太厉害了一开始只是觉得嗓子拔干有点痒就没在意结果过了一周咳嗽越来越严重连吞咽都疼同事给我推荐的这个同仁堂的川贝枇杷露对喉咙敏感的来说很温和而且润嗓的效果很好我连续把3瓶都喝完现在已经好很多了,0.16798854,0.16794896,0.6640626
jd21871283928,非常好，物流速度很快。。。。。。。。。。。。。。。。物品真材实料，。。。。。。。。。价格不贵，包装很好。。。。。。。。。。。图片忘了拍，见谅,2024-12-01 05:44:54,5,好评,非常好物流速度很快物品真材实料价格不贵包装很好图片忘了拍见谅,0.1679874,0.1679497,0.66406333
jd21833596401,推荐，喝上一口嗓子会感觉很舒服，儿子才喝了两次就管用！之前晚上咳嗽的睡不着觉，整个人的精神状态都变差，折磨人，吃药不管咳嗽，拍了两瓶，坚持喝完希望能好吧,2024-11-24 01:46:18,5,好评,推荐喝上一口嗓子会感觉很舒服儿子才喝了两次就管用之前晚上咳嗽的睡不着觉整个人的精神状态都变差折磨人吃药不管咳嗽拍了两瓶坚持喝完希望能好吧,0.16798986,0.16794938,0.66406006
jd22264030559,最近腰不好受，总隐隐作痛。听朋友说喝党参黄芪豆浆粉管用，补气血，就开始喝。买了好几次了，应该是有点效果，现在不那么疼了。继续回购。,2025-01-18 12:01:00,5,好评,最近腰不好受总隐隐作痛听朋友说喝党参黄芪豆浆粉管用补气血就开始喝买了好几次了应该是有点效果现在不那么疼了继续回购,0.16804416,0.66389835,0.16805644
jd21866394440,有咽炎的朋友可以试试！！！同事给推荐的枇杷露，主要是可以化痰止咳，我喝了一天，现在早餐起来喉咙里没有痰了！效果真好,2024-11-30 01:51:31,5,好评,有咽炎的朋友可以试试同事给推荐的枇杷露主要是可以化痰止咳我喝了一天现在早餐起来喉咙里没有痰了效果真好,0.16799061,0.16794926,0.6640605
jd21169745390,豆浆粉非常好溶解，单搭配面包或者是其他都非常好喝，配料含药食同源养生食材，喝了几天明显皮肤都变光滑了，收到的第二天早上就迫不及待泡了杯，很好溶解，而且加了党参，黄芪，三伏天祛湿很好，加了红枣，枸杞对女性友好！还能补气血，用来当早餐，特别不错。,2024-08-11 13:34:06,5,好评,豆浆粉非常好溶解单搭配面包或者是其他都非常好喝配料含药食同源养生食材喝了几天明显皮肤都变光滑了收到的第二天早上就迫不及待泡了杯很好溶解而且加了党参黄芪三伏天祛湿很好加了红枣枸杞对女性友好还能补气血用来当早餐特别不错,0.1679869,0.16794717,0.6640663
jd21144855324,这款北京同仁堂的八珍糕真的很不错，我嘴馋又想吃零食，其他零食都不健康就选择了这款，既好吃又能去湿气，吃了一段时间真的有效果，脸上出油变轻了，大便状态也比之前好了，吃完再买！,2024-08-05 15:44:30,5,好评,这款北京同仁堂的八珍糕真的很不错我嘴馋又想吃零食其他零食都不健康就选择了这款既好吃又能去湿气吃了一段时间真的有效果脸上出油变轻了大便状态也比之前好了吃完再买,0.16798894,0.16794923,0.6640618
jd21107044879,关节不舒服真的很需要补钙，估计是有维生素D的原因，比普通钙片好吸收，粉质也很细腻，这段时间腿疼腿抽筋有改善，运动时腿脚灵敏了许多，超级棒,2024-07-26 16:03:05,5,好评,关节不舒服真的很需要补钙估计是有维生素D的原因比普通钙片好吸收粉质也很细腻这段时间腿疼腿抽筋有改善运动时腿脚灵敏了许多超级棒,0.6640228,0.16796248,0.1680146
jd19354306363,这个黄瓜籽粉是同病房的病友推荐的，配合吃恢复得快一些，伤筋动骨一百天，早点好了早点恢复自由。吃了半个月康复效果不错，主治医生看了我的片子说位置也调整的很好了。,2023-07-20 19:25:24,5,好评,这个黄瓜籽粉是同病房的病友推荐的配合吃恢复得快一些伤筋动骨一百天早点好了早点恢复自由吃了半个月康复效果不错主治医生看了我的片子说位置也调整的很好了,0.6640223,0.1679626,0.16801406
jd19846485784,回乃宝还可以，喝了几天，没那么胀奶了，证明有效，好评。建议一天喝2包，效果好点。。京东物流很给力，前一天下单，第二天就到了，赞！！,2023-09-27 12:23:55,5,好评,回乃宝还可以喝了几天没那么胀奶了证明有效好评建议一天喝2包效果好点京东物流很给力前一天下单第二天就到了赞,0.6658788,0.16705295,0.16706821
jd19127000971,买一瓶试了一下效果还不错，小孩近段时间总说要东西，总说饿，还很容易烦躁，我担心他是有虫了，一瓶快吃完了，明显好多了，吃饭正常了，精神状态也好了。闺蜜给我推荐的，这里面没有药物成分，配料表还挺干净的，像糖果一样，小孩也不抗拒，挺好的。,2023-05-19 18:14:04,5,好评,买一瓶试了一下效果还不错小孩近段时间总说要东西总说饿还很容易烦躁我担心他是有虫了一瓶快吃完了明显好多了吃饭正常了精神状态也好了闺蜜给我推荐的这里面没有药物成分配料表还挺干净的像糖果一样小孩也不抗拒挺好的,0.1679866,0.16794813,0.6640654
jd19398449382,每样药材都是独立包装真材实料看得见。店家说一盒用来泡水喝的话可以喝四天，所以自己动手分成四份装入泡茶袋备用。分装过程忘记从头开始所以照片不全面。泡水喝了口感甜甜很是喜欢！,2023-08-03 16:10:50,5,好评,每样药材都是独立包装真材实料看得见店家说一盒用来泡水喝的话可以喝四天所以自己动手分成四份装入泡茶袋备用分装过程忘记从头开始所以照片不全面泡水喝了口感甜甜很是喜欢,0.16804077,0.6639033,0.16805527
jd19340714757,这个是朋友推荐的，说黄瓜籽有很好的补钙效果。我特意查了一下它里面含有的钙元素比较高，，容易被人体吸收，而且属于食疗补钙，没有化学添加更健康，并且可以预防骨质疏松，所以买来试试看.可以加点糖 会更好喝,2023-07-16 17:13:49,5,好评,这个是朋友推荐的说黄瓜籽有很好的补钙效果我特意查了一下它里面含有的钙元素比较高容易被人体吸收而且属于食疗补钙没有化学添加更健康并且可以预防骨质疏松所以买来试试看可以加点糖 会更好喝,0.765264,0.12279018,0.1119588
jd20148000183,这是第三次买了，经常回购，他家的八珍糕挺好吃的，比较软糯，也不太甜，家里老人比较喜欢，放家里吃得很快，吃完还会再来！,2023-11-16 20:23:34,5,好评,这是第三次买了经常回购他家的八珍糕挺好吃的比较软糯也不太甜家里老人比较喜欢放家里吃得很快吃完还会再来,0.16804229,0.663902,0.16805544
jd20147978480,肠胃一直不太好，又不喜欢吃药，听同事的推荐买了这家店八珍糕，口感很软糯不甜腻，对肠胃也挺有用的，吃了大概半盒肚子通了很多。,2023-11-16 20:18:29,5,好评,肠胃一直不太好又不喜欢吃药听同事的推荐买了这家店八珍糕口感很软糯不甜腻对肠胃也挺有用的吃了大概半盒肚子通了很多,0.1680418,0.663903,0.16805525
jd19563784137,就是糖果，标签也写的糖果，驱虫效果有待考察。,2023-08-22 22:57:41,3,中评,就是糖果标签也写的糖果驱虫效果有待考察,0.16804248,0.66390073,0.1680555
jd19289515321,里面是独立包装的，很喜欢，买给孩子吃，都是有药用价值的食材制作的，无添加，给孩子吃放心，健康又养胃，以前买过这个牌子罐装的八珍糕，材料跟这个一样，效果可以，就是不太经放，尤其是天气热的时候，这种独立包装就很好，而且这款的口感也是吃过最好吃的，比较软，值得回购,2023-06-30 17:14:37,5,好评,里面是独立包装的很喜欢买给孩子吃都是有药用价值的食材制作的无添加给孩子吃放心健康又养胃以前买过这个牌子罐装的八珍糕材料跟这个一样效果可以就是不太经放尤其是天气热的时候这种独立包装就很好而且这款的口感也是吃过最好吃的比较软值得回购,0.1679865,0.16794772,0.6640648
jd19127041478,回购了两次了，发现效果确实很好，小肚子消了很多，我是辅助减肥用的，最近一直在做锻炼，身上瘦了，肚子就还是老样子，我的私教教练说让我湿气重，推荐我喝这个祛湿，确实有用，之前因为饮食口味重，容易上火便秘，这些都一并的到了调理，当然最开心还是肚子小了。,2023-05-19 18:27:43,5,好评,回购了两次了发现效果确实很好小肚子消了很多我是辅助减肥用的最近一直在做锻炼身上瘦了肚子就还是老样子我的私教教练说让我湿气重推荐我喝这个祛湿确实有用之前因为饮食口味重容易上火便秘这些都一并的到了调理当然最开心还是肚子小了,0.66401887,0.16796179,0.16801886
jd21194461241,客服小姐姐说不用很烫的热水泡，就用能入口的温水泡，按照她的说法，确实冲完之后不会有结块的，非常喜欢，喝完之后的杯子也十分好清洗。这个黄芪粉效果最好的。尤其是脸上的变化特别明显，显得黑眼圈都小了很多，蜡黄退下去了。一天一条就好非常容易坚持。,2024-08-15 21:43:41,5,好评,客服小姐姐说不用很烫的热水泡就用能入口的温水泡按照她的说法确实冲完之后不会有结块的非常喜欢喝完之后的杯子也十分好清洗这个黄芪粉效果最好的尤其是脸上的变化特别明显显得黑眼圈都小了很多蜡黄退下去了一天一条就好非常容易坚持,0.16804257,0.6638983,0.16805746
jd21194299321,减脂期间蛋白质摄入少导致便秘，普通豆浆粉热量太高，所以特意上网买了这款无糖的黄芪党参豆浆粉，0添加，配料表很干净，用料扎实，都是调理脾胃的药材，现在一盒吃完了，噗噗很顺利，又不长胖还能补充蛋白质，两全其美。,2024-08-15 21:15:47,5,好评,减脂期间蛋白质摄入少导致便秘普通豆浆粉热量太高所以特意上网买了这款无糖的黄芪党参豆浆粉0添加配料表很干净用料扎实都是调理脾胃的药材现在一盒吃完了噗噗很顺利又不长胖还能补充蛋白质两全其美,0.6640245,0.16796139,0.16801378
jd21194274398,养生黄芪豆浆！豆浆很好冲开，而且口感醇厚，豆香浓郁，还带着黄芪党参的淡淡药材香，喝起来非常舒服，没有**，因为最近气血不足特意买的这个，原料营养丰富，感觉喝了之后身体都更有活力了，很适合需要补气血的人。,2024-08-15 21:10:36,5,好评,养生黄芪豆浆豆浆很好冲开而且口感醇厚豆香浓郁还带着黄芪党参的淡淡药材香喝起来非常舒服没有因为最近气血不足特意买的这个原料营养丰富感觉喝了之后身体都更有活力了很适合需要补气血的人,0.16798772,0.16794853,0.6640638
jd21194248195,连着喝了几天了，感觉自己掉色了！天天喝皮肤真的在变好！也没有天天闹肚子了！对这种配料表干干净净的喝的没有抵抗力！很好冲泡开不凝块！黄芪党参味很浓！常吃也不怕长肉！,2024-08-15 21:05:15,5,好评,连着喝了几天了感觉自己掉色了天天喝皮肤真的在变好也没有天天闹肚子了对这种配料表干干净净的喝的没有抵抗力很好冲泡开不凝块黄芪党参味很浓常吃也不怕长肉,0.16798875,0.16794865,0.6640622
jd20506844065,跟小时候吃的味道一样，小小一包挺方便，味道也很好，微甜，感觉很不错，值得购买，感觉买少了，应该趁着有活动先，多囤一点的。,2024-02-24 20:10:38,5,好评,跟小时候吃的味道一样小小一包挺方便味道也很好微甜感觉很不错值得购买感觉买少了应该趁着有活动先多囤一点的,0.16804534,0.66389745,0.16805674
jd21169773657,妈妈年纪大了 ，又舍不得花钱去吃早餐，我专门买了这款同仁堂黄芪党参豆浆粉给她，无糖款，比普通豆浆粉还额外添加中药材 ，早上来一杯，不用担心血糖会升高，又能饱腹，一次泡一杯，操作很简单，家里人都爱喝，还说让我再买几盒。,2024-08-11 13:42:16,5,好评,妈妈年纪大了 又舍不得花钱去吃早餐我专门买了这款同仁堂黄芪党参豆浆粉给她无糖款比普通豆浆粉还额外添加中药材 早上来一杯不用担心血糖会升高又能饱腹一次泡一杯操作很简单家里人都爱喝还说让我再买几盒,0.8321434,0.08391655,0.08394001
jd21169770722,里面的配方都是对女性有好处的，日期也非常新鲜，粉很细腻，非常易溶解，口感不是太甜，看了下配料 ，没有添加糖什么的，好适合最近减脂的伙伴，多吃也不胖，办公室里来一杯，非常容易又方便。,2024-08-11 13:41:33,5,好评,里面的配方都是对女性有好处的日期也非常新鲜粉很细腻非常易溶解口感不是太甜看了下配料 没有添加糖什么的好适合最近减脂的伙伴多吃也不胖办公室里来一杯非常容易又方便,0.11192774,0.11190355,0.7761686
jd21393801032,京东物流送货上门就是快四宝茶口感醇香，经常上夜班熬夜气色不好，喝了一个礼拜气色红润，茶就能补气，原材料包干净，没有杂质。,2024-09-20 23:56:07,5,好评,京东物流送货上门就是快四宝茶口感醇香经常上夜班熬夜气色不好喝了一个礼拜气色红润茶就能补气原材料包干净没有杂质,0.16804145,0.6639035,0.16805498
jd21373671775,第一次见这么好的包装，里边都是分的小袋的包装，里边用料十足，我是买来补气血的，经常熬夜喝这款确实不错，大牌子值得信赖哦。,2024-09-16 22:38:35,5,好评,第一次见这么好的包装里边都是分的小袋的包装里边用料十足我是买来补气血的经常熬夜喝这款确实不错大牌子值得信赖哦,0.6640266,0.16796102,0.16801341
jd21793774704,医生推荐四君子汤，没吃这个之前就感觉身体特别重每天浑身酸痛，这个每天泡水喝调理了一段时间已经好多了，手不黄了，脸色也好看多了。,2024-11-16 14:52:21,5,好评,医生推荐四君子汤没吃这个之前就感觉身体特别重每天浑身酸痛这个每天泡水喝调理了一段时间已经好多了手不黄了脸色也好看多了,0.66402173,0.16796188,0.16801608
